interaction_id,contact_id,interaction_date,interaction_type,details
377,003XX00000Sr1s6nMm,2025-08-25,email_click,
378,003XX00000Sr1s6nMm,2025-04-01,event_attended,Spring Gala 2023
379,003XX00000Sr1s6nMm,2023-07-23,email_open,
380,003XX00000Sr1s6nMm,2024-11-08,phone_call,Outreach about Planned Giving Society
381,003XX00000Sr1s6nMm,2021-04-23,event_attended,Homecoming Reception 2023
382,003XX00000Sr1s6nMm,2021-06-07,email_open,Annual event invitation
383,003XX00000Sr1s6nMm,2024-01-16,event_attended,Book Launch event
384,003XX00000Sr1s6nMm,2022-12-14,event_attended,Virtual Symposium on Culture & Democracy
385,003XX00000Sr1s6nMm,2025-10-18,event_attended,Homecoming Reception 2023
386,003XX00000Sr1s6nMm,2021-11-06,meeting,Major gift conversation – preliminary
387,003XX00000Sr1s6nMm,2025-07-05,mail_sent,Holiday card
388,003XX00000Sr1s6nMm,2024-12-07,phone_call,Thank-you call after Year-End gift
389,003XX00000Sr1s6nMm,2021-08-31,email_click,Clicked donate button
390,003XX00000Sr1s6nMm,2022-01-20,email_click,Clicked donate button
391,003XX00000Sr1s6nMm,2022-12-01,meeting,Stewardship call – discussed giving impact
392,003XX000001uiOwxRp,2024-11-22,meeting,Introductory meeting with development director
393,003XX000001uiOwxRp,2020-06-16,meeting,Cultivation lunch
394,003XX000001uiOwxRp,2025-06-10,event_attended,Book Launch event
395,003XX000000Ac6C5lv,2021-08-29,mail_sent,Annual Fund appeal letter
396,003XX0000046XhR4yX,2022-04-14,email_open,Spring fundraising newsletter
397,003XX0000046XhR4yX,2021-11-20,email_click,Clicked journal article link
398,003XX0000046XhR4yX,2022-05-19,phone_call,
399,003XX0000046XhR4yX,2025-11-24,email_open,Annual Fund thank-you
400,003XX000004ZbZTYHA,2020-11-10,meeting,Stewardship call – discussed giving impact
401,003XX000004ZbZTYHA,2021-01-21,meeting,Major gift conversation – preliminary
402,003XX00000HAkh6Su4,2021-05-14,event_attended,Book Launch event
403,003XX00000HAkh6Su4,2021-03-10,event_attended,Homecoming Reception 2023
404,003XX00000HAkh6Su4,2020-04-28,email_click,Clicked donate button
405,003XX00000HAkh6Su4,2025-05-19,meeting,Cultivation lunch
406,003XX00000HAkh6Su4,2023-01-08,mail_sent,Stewardship impact report
407,003XX00000HAkh6Su4,2020-01-24,mail_sent,Hedgehog Review print copy
408,003XX00000HAkh6Su4,2025-01-29,email_open,Spring fundraising newsletter
409,003XX00000HAkh6Su4,2021-06-13,mail_sent,Holiday card
410,003XX00000HAkh6Su4,2023-03-04,email_open,Spring fundraising newsletter
411,003XX00000HAkh6Su4,2020-10-16,email_open,Annual Fund thank-you
412,003XX00000y7KTwsnR,2021-01-14,meeting,Cultivation lunch
413,003XX00000y7KTwsnR,2021-12-30,event_attended,Spring Gala 2023
414,003XX00000y7KTwsnR,2020-12-31,meeting,Introductory meeting with development director
415,003XX00000y7KTwsnR,2021-10-29,email_click,
416,003XX00000y7KTwsnR,2023-03-13,meeting,Stewardship call – discussed giving impact
417,003XX00000X4gV1edl,2024-11-05,meeting,Major gift conversation – preliminary
418,003XX00000X4gV1edl,2021-06-21,mail_sent,Hedgehog Review print copy
419,003XX00000X4gV1edl,2021-01-28,mail_sent,Hedgehog Review print copy
420,003XX00000lddNZIkv,2025-06-28,email_click,
421,003XX00000lddNZIkv,2025-05-05,meeting,Major gift conversation – preliminary
422,003XX00000zlL3l2gu,2024-09-28,phone_call,Thank-you call after Year-End gift
423,003XX00000zlL3l2gu,2024-02-17,meeting,Phone meeting rescheduled
424,003XX00000zlL3l2gu,2024-11-13,email_click,
425,003XX00000zlL3l2gu,2020-06-14,email_open,Annual Fund thank-you
426,003XX00000zlL3l2gu,2025-03-13,event_attended,Spring Gala 2023
427,003XX00000zlL3l2gu,2021-09-27,mail_sent,Planned giving brochure
428,003XX00000zlL3l2gu,2025-11-19,phone_call,Thank-you call after Year-End gift
429,003XX000001aWRquZw,2024-11-26,meeting,Introductory meeting with development director
430,003XX000001aWRquZw,2023-05-15,meeting,Stewardship call – discussed giving impact
431,003XX000001aWRquZw,2023-05-15,email_click,Clicked event registration link
432,003XX000001aWRquZw,2024-10-17,phone_call,Follow-up on lapsed donor reengagement
433,003XX000001aWRquZw,2020-07-14,phone_call,
434,003XX000001aWRquZw,2020-07-03,email_open,Annual Fund thank-you
435,003XX00000ifVHfPhx,2021-01-22,meeting,Cultivation lunch
436,003XX00000ifVHfPhx,2022-11-03,mail_sent,Hedgehog Review print copy
437,003XX00000ifVHfPhx,2020-11-30,event_attended,Virtual Symposium on Culture & Democracy
438,003XX00000ifVHfPhx,2021-04-11,email_open,
439,003XX00000ifVHfPhx,2025-03-10,mail_sent,Holiday card
440,003XX00000ifVHfPhx,2024-05-28,email_click,Clicked donate button
441,003XX00000ifVHfPhx,2024-08-31,email_open,
442,003XX00000ifVHfPhx,2023-07-09,event_attended,Virtual Symposium on Culture & Democracy
443,003XX00000ifVHfPhx,2025-02-06,mail_sent,Planned giving brochure
444,003XX00000wHE7eA17,2023-10-30,event_attended,Spring Gala 2023
445,003XX00000wHE7eA17,2022-01-28,email_click,Clicked donate button
446,003XX00000OdmWeNrX,2022-11-28,phone_call,Thank-you call after Year-End gift
447,003XX00000OdmWeNrX,2025-12-28,meeting,Introductory meeting with development director
448,003XX00000OdmWeNrX,2024-06-05,email_open,Year-End Appeal 2023
449,003XX00000OdmWeNrX,2021-12-04,email_open,
450,003XX00000OdmWeNrX,2025-02-27,meeting,Cultivation lunch
451,003XX00000OdmWeNrX,2025-06-16,mail_sent,Hedgehog Review print copy
452,003XX00000WiyVZVql,2024-01-17,phone_call,Left voicemail
453,003XX00000WiyVZVql,2020-12-24,event_attended,Spring Gala 2023
454,003XX00000WiyVZVql,2020-02-26,email_click,Clicked event registration link
455,003XX00000WiyVZVql,2020-03-06,email_open,
456,003XX00000tp6rEKGD,2025-05-24,email_click,Clicked event registration link
